mismatch_type,link_id,in_links_index,in_link_to_paths,path_count,sample_path_ids,street_name_1,street_name_2,street_name_3,note
missing_in_link_to_paths,4668,1,0,0,,PERRY HWY,,,r
missing_in_link_to_paths,4670,1,0,0,,MAINLINE TPKE,,,r
missing_in_link_to_paths,4677,1,0,0,,JOSEPHINE ST,,,r
missing_in_link_to_paths,4723,1,0,0,,ELEVENTH ST,,,r
missing_in_link_to_paths,4758,1,0,0,,REEDSDALE ST,,,r
missing_in_link_to_paths,4774,1,0,0,,RAMP A RD,,,r
missing_in_link_to_paths,4775,1,0,0,,FORBES AVE,,,r
missing_in_link_to_paths,4786,1,0,0,,,,,r
missing_in_link_to_paths,4838,1,0,0,,TENTH ST BYP,,,r
missing_in_link_to_paths,4868,1,0,0,,MOON-CLINTON RD,,,r
missing_in_link_to_paths,4871,1,0,0,,ST CLAIR AVE,,,r
missing_in_link_to_paths,4876,1,0,0,,,,,r
missing_in_link_to_paths,4877,1,0,0,,PITTSBURGH ST,,,r
missing_in_link_to_paths,4878,1,0,0,,,,,r
missing_in_link_to_paths,4879,1,0,0,,SOUTH CAMPUS DR,,,r
missing_in_link_to_paths,4880,1,0,0,,,,,r
missing_in_link_to_paths,4886,1,0,0,,STOCKTON AVE,,,r
missing_in_link_to_paths,4902,1,0,0,,NORTHERN PKWY,,,r
missing_in_link_to_paths,4903,1,0,0,,,,,r
missing_in_link_to_paths,4904,1,0,0,,MONROEVILLE RD,,,r
missing_in_link_to_paths,4905,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,4906,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,4916,1,0,0,,SOUTH 3RD AVE,,,r
missing_in_link_to_paths,4918,1,0,0,,,,,r
missing_in_link_to_paths,4944,1,0,0,,,,,r
missing_in_link_to_paths,4976,1,0,0,,,,,r
missing_in_link_to_paths,4977,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,4978,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,4979,1,0,0,,,,,r
missing_in_link_to_paths,4980,1,0,0,,SAXONBURG RD,,,r
missing_in_link_to_paths,4981,1,0,0,,FREEPORT RD,,,r
missing_in_link_to_paths,4989,1,0,0,,,,,r
missing_in_link_to_paths,5023,1,0,0,,RAMP 260 RD,,,r
missing_in_link_to_paths,5024,1,0,0,,BEAVER AVE,,,r
missing_in_link_to_paths,5060,1,0,0,,SOOSE RD,,,r
missing_in_link_to_paths,5067,1,0,0,,WASHINGTON PKWY,,,r
missing_in_link_to_paths,5078,1,0,0,,SOOSE RD,,,r
missing_in_link_to_paths,5101,1,0,0,,EAST HARDIES RD,,,r
missing_in_link_to_paths,5108,1,0,0,,LINCOLN WAY,,,r
missing_in_link_to_paths,5109,1,0,0,,RIVER HILL RD,,,r
missing_in_link_to_paths,5110,1,0,0,,,,,r
